X,Y,FID,ID,Year,Reported_D,Reported_T,Reported_W,Occurrence,Occurren_1,Occurren_2,Location_T,Primary_Of,Bicycle_St,Bicycle_Va,Bicycle_Ma,Bicycle_Mo,Bicycle_Ty,Bicycle_Fr,Bicycle_Co,Bicycle_Sp,Ottawa_Nei,Ottawa_N_1,Ottawa_N_2,Census_Tra,Census_T_1,X_Coordina,Y_Coordina
-8428937.25069659,5667079.24840841,1,1729,2022,2022/09/25 00:00:00+00,1905/10/06 00:00:00+00,Sunday,2022/09/25 00:00:00+00,1905/01/03 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,800,RALEIGH,OVERTAKE,OTHER,UNISEX,WHITE,21,Rideau Crest - Davidson Heights,Sector 16,West,5050141.08,141.08,366108.0351,5016818.3249
-8428326.94736479,5686825.6475194,2,352,2022,2022/09/24 00:00:00+00,1900/08/19 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/01/04 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,800,BATCH,LIFESTYLE,HYBRID,MEN'S,BLACK,1,Carson Grove - Carson Meadows,Sector 32,East,5050047,47,366402.7011,5030675.571
-8418365.84944093,5690196.20626134,3,775,2022,2022/09/24 00:00:00+00,1903/05/25 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/04/14 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,1500,UNKNOWN,N/A,OTHER,UNISEX,BROWN,21,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,122.03,373380.7219,5033109.5811
-8418365.84944093,5690196.20626134,4,776,2022,2022/09/24 00:00:00+00,1903/05/25 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/04/14 00:00:00+00,Friday,PARKING LOTS,THEFT<BICYCLE,STOLEN,1500,UNKNOWN,N/A,HYBRID,UNISEX,BROWN,21,Lebreton Development,Sector 22,Central,5050122.03,122.03,373380.7219,5033109.5811
-8425134.5874857,5688289.58652662,5,1614,2022,2022/09/23 00:00:00+00,1903/11/21 00:00:00+00,Friday,2022/09/15 00:00:00+00,1903/02/03 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,350,MONGOOSE,N/A,OTHER,UNISEX,SILK,0,Centretown,Sector 23,Central,5050050,50,368636.8819,5031723.7529
-8427036.02740129,5688070.14310992,6,1728,2022,2022/09/23 00:00:00+00,1904/06/25 00:00:00+00,Friday,2022/09/22 00:00:00+00,1904/06/17 00:00:00+00,Thursday,PARKING LOTS,THEFT<BICYCLE,STOLEN,1000,TREK,LEXA,OTHER,WOMEN'S,WHITE,18,Sandy Hill,Sector 24,Central,5050048,48,367301.703,5031556.5789
-8429178.38587906,5686268.35365712,7,350,2022,2022/09/22 00:00:00+00,1904/06/10 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1902/09/26 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,1000,OPUS,ANDANTE,RACER,WOMEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050047,47,365807.829,5030279.1879
-8429178.38587906,5686268.35365712,8,351,2022,2022/09/22 00:00:00+00,1904/06/10 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1902/09/26 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,1000,OPUS,ANDANTE,MOUNTAIN,WOMEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050047,47,365807.829,5030279.1879
-8425285.64116697,5688552.22111341,9,1009,2022,2022/09/22 00:00:00+00,1903/01/09 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1905/01/03 00:00:00+00,Wednesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,BR UNDER/RECOG,STOLEN,1500,SCOTT,SCALE 980,RACER,MEN'S,GRAY,12,West Centretown,Sector 22,Central,5050050,50,368528.8285,5031906.6944
-8424934.18631849,5688410.52829879,10,1010,2022,2022/09/22 00:00:00+00,1906/06/09 00:00:00+00,Thursday,2022/09/22 00:00:00+00,1905/09/30 00:00:00+00,Thursday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,THEFT<BICYCLE,STOLEN,1000,FELT,VERZASPEED SUPE,RACER,MEN'S,GRAY,0,West Centretown,Sector 22,Central,5050050,50,368776.9019,5031809.923
